timestamp,x,y,z,qx,qy,qz,qw
1670332790.429354,0.537741,-0.683285,0.0488212,0.636244,-0.329419,0.326915,-0.616282
1670332790.479299,0.542361,-0.702103,0.045895,0.637393,-0.332896,0.327124,-0.613107
1670332790.529318,0.545214,-0.718678,0.0426323,0.637745,-0.336492,0.328001,-0.610303
1670332790.579345,0.548169,-0.73316,0.0428175,0.638046,-0.339477,0.327809,-0.608436
1670332790.629354,0.551214,-0.745855,0.0459234,0.638308,-0.341946,0.326713,-0.607367
1670332790.679307,0.554144,-0.755138,0.041194,0.639028,-0.341825,0.325773,-0.607183
1670332790.729386,0.556991,-0.761665,0.030039,0.640125,-0.339585,0.324957,-0.607721
1670332790.779337,0.557403,-0.764972,0.019995,0.641343,-0.337598,0.322933,-0.608622
1670332790.829466,0.555717,-0.76553,0.0108537,0.642666,-0.335815,0.319857,-0.609836
1670332790.879317,0.557401,-0.765087,0.000312822,0.643908,-0.33626,0.316125,-0.610227
1670332790.929336,0.561954,-0.763781,-0.011502,0.645083,-0.338596,0.311803,-0.609919
1670332790.979338,0.565173,-0.762594,-0.0251922,0.645492,-0.343367,0.307186,-0.60916
1670332791.029351,0.567233,-0.761507,-0.0405249,0.645218,-0.350223,0.302302,-0.60799
1670332791.079348,0.572915,-0.761062,-0.0477828,0.644585,-0.354157,0.300026,-0.607509
1670332791.129301,0.581772,-0.761182,-0.0479784,0.64367,-0.355556,0.30004,-0.607655
1670332791.179330,0.585621,-0.758566,-0.0454991,0.64284,-0.355256,0.300437,-0.608512
1670332791.229328,0.585267,-0.753664,-0.0407847,0.642082,-0.353533,0.301153,-0.609961
1670332791.279297,0.585762,-0.747665,-0.0314553,0.642168,-0.351161,0.301522,-0.611056
1670332791.329272,0.586975,-0.740734,-0.0182162,0.642967,-0.348239,0.301598,-0.611851
1670332791.379295,0.58727,-0.735252,0.000554176,0.64366,-0.344901,0.300793,-0.613407
1670332791.429387,0.586758,-0.731035,0.0241403,0.644255,-0.341198,0.299218,-0.61562
1670332791.479314,0.58853,-0.725815,0.0539543,0.643112,-0.337139,0.297952,-0.619652
1670332791.529530,0.592189,-0.719742,0.0891837,0.640496,-0.33274,0.296921,-0.625209
1670332791.579296,0.592287,-0.712632,0.120228,0.636863,-0.328045,0.297879,-0.63092
1670332791.629391,0.589392,-0.704566,0.148216,0.632312,-0.323026,0.300494,-0.636819
1670332791.679285,0.586452,-0.698223,0.176092,0.627729,-0.317987,0.303481,-0.642448
1670332791.729320,0.583443,-0.693281,0.204042,0.623081,-0.312896,0.306791,-0.647877
1670332791.779343,0.578729,-0.6899,0.228738,0.619378,-0.306591,0.308587,-0.653565
1670332791.829357,0.572565,-0.687856,0.250676,0.616457,-0.299255,0.309099,-0.659458
1670332791.879307,0.567376,-0.685105,0.272971,0.615485,-0.291268,0.308959,-0.663992
1670332791.929309,0.562981,-0.681769,0.295596,0.616112,-0.282726,0.308277,-0.667411
1670332791.979388,0.557651,-0.677367,0.315807,0.617235,-0.274294,0.309603,-0.669275
1670332792.030219,0.551463,-0.671978,0.334223,0.61879,-0.265841,0.312658,-0.66983
1670332792.079334,0.543942,-0.669535,0.345154,0.617993,-0.25947,0.315077,-0.671928
1670332792.129308,0.535048,-0.669255,0.350819,0.615354,-0.254423,0.317115,-0.675312
1670332792.179317,0.529535,-0.670177,0.359967,0.611638,-0.251464,0.318387,-0.679187
1670332792.229538,0.526848,-0.672128,0.372078,0.607001,-0.250247,0.319017,-0.683486
1670332792.279295,0.527093,-0.674463,0.380111,0.604302,-0.249227,0.319108,-0.686203
1670332792.329339,0.529765,-0.677131,0.384906,0.603174,-0.248359,0.318762,-0.68767
1670332792.379284,0.527472,-0.680444,0.382473,0.60448,-0.247693,0.318694,-0.686795
1670332792.429298,0.520871,-0.684339,0.373771,0.607889,-0.247196,0.318862,-0.68388
1670332792.479298,0.516104,-0.684964,0.363347,0.612542,-0.24721,0.318471,-0.679893
1670332792.529341,0.51284,-0.682895,0.351468,0.618217,-0.247642,0.317605,-0.674988
1670332792.579315,0.509899,-0.681464,0.337065,0.621833,-0.249232,0.315085,-0.672256
1670332792.629305,0.507226,-0.680533,0.320555,0.623756,-0.251788,0.311193,-0.671334
1670332792.679323,0.505098,-0.681896,0.304257,0.626149,-0.254764,0.307118,-0.669859
1670332792.729409,0.503416,-0.685205,0.288119,0.628932,-0.258094,0.30288,-0.667904
1670332792.779341,0.502312,-0.686058,0.270397,0.63199,-0.261777,0.297243,-0.666114
1670332792.829322,0.501654,-0.684915,0.251326,0.635262,-0.265751,0.290441,-0.664427
1670332792.879327,0.502482,-0.681558,0.231591,0.63855,-0.268893,0.286645,-0.661654
1670332792.929299,0.504555,-0.676382,0.211323,0.641861,-0.271345,0.285355,-0.657996
1670332792.979343,0.50735,-0.671403,0.190445,0.644514,-0.27347,0.286511,-0.654009
1670332793.029318,0.510756,-0.666614,0.169114,0.646599,-0.275309,0.289727,-0.649749
1670332793.079298,0.512487,-0.660946,0.14189,0.647628,-0.277343,0.293096,-0.646339
1670332793.129481,0.512761,-0.654485,0.109418,0.647743,-0.279555,0.296613,-0.64366
1670332793.179327,0.515074,-0.647001,0.0825821,0.647493,-0.282465,0.30059,-0.64079
1670332793.229362,0.519085,-0.638617,0.0601564,0.646929,-0.285972,0.304978,-0.637724
1670332793.279309,0.521894,-0.631599,0.0358811,0.646233,-0.289043,0.309019,-0.635094
1670332793.329315,0.523702,-0.62571,0.00998522,0.645429,-0.291756,0.312781,-0.632826
1670332793.379293,0.52204,-0.618787,-0.016911,0.644893,-0.293679,0.315832,-0.630964
1670332793.429332,0.517391,-0.610954,-0.0447169,0.644595,-0.294929,0.318279,-0.629454
1670332793.479341,0.516958,-0.607398,-0.0734986,0.644917,-0.296002,0.319602,-0.627948
1670332793.529316,0.520039,-0.607403,-0.103091,0.645759,-0.296928,0.319988,-0.626447
1670332793.579365,0.520476,-0.604147,-0.131096,0.646857,-0.29875,0.319227,-0.624835
1670332793.629301,0.518713,-0.598199,-0.15769,0.648156,-0.301306,0.317515,-0.623131
1670332793.679304,0.516656,-0.596255,-0.186783,0.649354,-0.304079,0.315635,-0.62149
1670332793.729312,0.514347,-0.597734,-0.217982,0.65046,-0.307034,0.313612,-0.619903
1670332793.779301,0.51265,-0.599413,-0.244183,0.651205,-0.311905,0.310883,-0.618061
1670332793.829368,0.511432,-0.601262,-0.266364,0.651635,-0.318341,0.307559,-0.615986
1670332793.879299,0.512565,-0.599191,-0.284654,0.652548,-0.32577,0.304085,-0.612852
1670332793.931313,0.515735,-0.593664,-0.300415,0.653887,-0.334365,0.300315,-0.60864
1670332793.979319,0.517434,-0.592523,-0.314351,0.655604,-0.339737,0.298097,-0.604897
